"id","artifact_id","version","path","full_name","category","status"
26,hbase-metrics-api,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-metrics-api-2.1.0-cdh6.3.1.jar,hbase-metrics-api-2.1.0-cdh6.3.1.jar,COMMON,1
27,hbase-protocol,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-protocol-2.1.0-cdh6.3.1.jar,hbase-protocol-2.1.0-cdh6.3.1.jar,COMMON,1
28,hbase-protocol-shaded,"2.1.0-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hbase-protocol-shaded-2.1.0-cdh6.3.1.jar,hbase-protocol-shaded-2.1.0-cdh6.3.1.jar,COMMON,1
29,hbase-shaded-miscellaneous,"2.2.1",hdfs://nameservice1/var/lib/spark/Data/hbase-shaded-miscellaneous-2.2.1.jar,hbase-shaded-miscellaneous-2.2.1.jar,COMMON,1
30,hbase-shaded-netty,"2.2.1",hdfs://nameservice1/var/lib/spark/Data/hbase-shaded-netty-2.2.1.jar,hbase-shaded-netty-2.2.1.jar,COMMON,1
31,hbase-shaded-protobuf,"2.2.1",hdfs://nameservice1/var/lib/spark/Data/hbase-shaded-protobuf-2.2.1.jar,hbase-shaded-protobuf-2.2.1.jar,COMMON,1
32,hive-metastore,"2.1.1-cdh6.3.1",hdfs://nameservice1/var/lib/spark/Data/hive-metastore-2.1.1-cdh6.3.1.jar,hive-metastore-2.1.1-cdh6.3.1.jar,COMMON,1
33,javapoet,"1.10.0",hdfs://nameservice1/var/lib/spark/Data/javapoet-1.10.0.jar,javapoet-1.10.0.jar,COMMON,1
34,javax.jdo,"3.2.0-m3",hdfs://nameservice1/var/lib/spark/Data/javax.jdo-3.2.0-m3.jar,javax.jdo-3.2.0-m3.jar,COMMON,1
35,javolution,"5.5.1",hdfs://nameservice1/var/lib/spark/Data/javolution-5.5.1.jar,javolution-5.5.1.jar,COMMON,1
36,jcodings,"1.0.18",hdfs://nameservice1/var/lib/spark/Data/jcodings-1.0.18.jar,jcodings-1.0.18.jar,COMMON,1
37,jdo-api,"3.0.1",hdfs://nameservice1/var/lib/spark/Data/jdo-api-3.0.1.jar,jdo-api-3.0.1.jar,COMMON,1
38,joni,"2.1.11",hdfs://nameservice1/var/lib/spark/Data/joni-2.1.11.jar,joni-2.1.11.jar,COMMON,1
39,jopt-simple,"4.9",hdfs://nameservice1/var/lib/spark/Data/jopt-simple-4.9.jar,jopt-simple-4.9.jar,COMMON,1
40,jta,"1.1",hdfs://nameservice1/var/lib/spark/Data/jta-1.1.jar,jta-1.1.jar,COMMON,1
41,junit,"4.12",hdfs://nameservice1/var/lib/spark/Data/junit-4.12.jar,junit-4.12.jar,COMMON,1
42,kafka-log4j-appender,"0.11.0.0",hdfs://nameservice1/var/lib/spark/Data/kafka-log4j-appender-0.11.0.0.jar,kafka-log4j-appender-0.11.0.0.jar,COMMON,1
43,livy-api,"0.6.0-incubating",hdfs://nameservice1/var/lib/spark/Data/livy-api-0.6.0-incubating.jar,livy-api-0.6.0-incubating.jar,COMMON,1
44,livy-client-http,"0.6.0-incubating",hdfs://nameservice1/var/lib/spark/Data/livy-client-http-0.6.0-incubating.jar,livy-client-http-0.6.0-incubating.jar,COMMON,1
45,mockito-core,"1.9.5",hdfs://nameservice1/var/lib/spark/Data/mockito-core-1.9.5.jar,mockito-core-1.9.5.jar,COMMON,1
46,stax-api,"1.0.1",hdfs://nameservice1/var/lib/spark/Data/stax-api-1.0.1.jar,stax-api-1.0.1.jar,COMMON,1
47,spark-processing,"3.5-rc88",hdfs://nameservice1/prod_code/Data/master/spark-processing/jars/spark-processing-3.5-rc88.jar,spark-processing-3.5-rc88.jar,SPARK_PROCESSING,1
48,rule-service,"2.4-rc104",hdfs://nameservice1/prod_code/Data/master/rule-service/jars/rule-service-2.4-rc104.jar,rule-service-2.4-rc104.jar,RULE_SERVICE,1
49,Database,"2.0",hdfs://nameservice1/var/lib/spark/Database-2.0.jar,Database-2.0.jar,COMMON,1
50,MediaUrlWrapper,"0.2.10",hdfs://nameservice1/var/lib/spark/MediaUrlWrapper-0.2.10.jar,MediaUrlWrapper-0.2.10.jar,COMMON,1
51,commons-pool2,"2.4.2",hdfs://nameservice1/var/lib/spark/commons-pool2-2.4.2.jar,commons-pool2-2.4.2.jar,COMMON,1
52,jedis,"2.8.1",hdfs://nameservice1/var/lib/spark/jedis-2.8.1.jar,jedis-2.8.1.jar,COMMON,1
53,UserAgentDetection,"2.0",hdfs://nameservice1/var/lib/spark/UserAgentDetection-2.0.jar,UserAgentDetection-2.0.jar,COMMON,1
54,RPMUtils,"1.0.8",hdfs://nameservice1/var/lib/spark/RPMUtils-1.0.8.jar,RPMUtils-1.0.8.jar,COMMON,1
55,MediaUrl,"2.0.1",hdfs://nameservice1/var/lib/spark/MediaUrl-2.0.1.jar,MediaUrl-2.0.1.jar,COMMON,1
56,ss-shaded,"0.8.2.2",hdfs://nameservice1/var/lib/ss-shaded-0.8.2.2.jar,ss-shaded-0.8.2.2.jar,COMMON,1
57,ua-parser,"1.3.2-SNAPSHOT-jar-with-dependencies",hdfs://nameservice1/var/lib/spark/ua-parser-1.3.2-SNAPSHOT-jar-with-dependencies.jar,ua-parser-1.3.2-SNAPSHOT-jar-with-dependencies.jar,COMMON,1
58,mysql-connector-java,"8.0.17",hdfs://nameservice1/var/lib/spark/mysql-connector-java-8.0.17.jar,mysql-connector-java-8.0.17.jar,COMMON,1
59,spark-streaming-kafka-0-10_2.11,"2.4.0",hdfs://nameservice1/var/lib/spark-streaming-kafka-0-10_2.11-2.4.0.jar,spark-streaming-kafka-0-10_2.11-2.4.0.jar,COMMON,1
60,spark-streaming_2.11,"2.4.0",hdfs://nameservice1/var/lib/spark-streaming_2.11-2.4.0.jar,spark-streaming_2.11-2.4.0.jar,COMMON,1
61,kafka-clients,"2.5.0",hdfs://nameservice1/var/lib/kafka_0010/kafka-clients-2.5.0.jar,kafka-clients-2.5.0.jar,COMMON,1
62,kafka-graphite-clients,"0.10.2",hdfs://nameservice1/var/lib/kafka-graphite-clients-0.10.2.jar,kafka-graphite-clients-0.10.2.jar,COMMON,1
63,etl-gson,"2.2.5",hdfs://nameservice1/var/lib/spark/etl-gson-2.2.5.jar,etl-gson-2.2.5.jar,COMMON,1
64,guava,"16.0.1",hdfs://nameservice1/var/lib/guava-16.0.1.jar,guava-16.0.1.jar,COMMON,1
65,spark-sql-patch,"3.0",hdfs://nameservice1/prod_code/Data/master/spark-sql-patch/jars/spark-sql-patch-3.0.jar,spark-sql-patch-3.0.jar,COMMON,1
66,spark-sql-kafka-0-10_2.11,"2.4.0",hdfs://nameservice1/var/lib/spark-sql-kafka-0-10_2.11-2.4.0.jar,spark-sql-kafka-0-10_2.11-2.4.0.jar,COMMON,1
67,deviceapi,"2.1.1",hdfs://nameservice1/var/lib/spark/deviceapi-2.1.1.jar,deviceapi-2.1.1.jar,COMMON,1
68,deviceatlas-common,"1.1",hdfs://nameservice1/var/lib/spark/deviceatlas-common-1.1.jar,deviceatlas-common-1.1.jar,COMMON,1
